path,work,chap,page
jujutsu-kaisen/107/2.png,jujutsu-kaisen,107,2
jujutsu-kaisen/107/3.png,jujutsu-kaisen,107,3
jujutsu-kaisen/107/4.png,jujutsu-kaisen,107,4
jujutsu-kaisen/107/5.png,jujutsu-kaisen,107,5
jujutsu-kaisen/107/6.png,jujutsu-kaisen,107,6
jujutsu-kaisen/107/7.png,jujutsu-kaisen,107,7
jujutsu-kaisen/107/8.png,jujutsu-kaisen,107,8
jujutsu-kaisen/107/9.png,jujutsu-kaisen,107,9
jujutsu-kaisen/107/10.png,jujutsu-kaisen,107,10
jujutsu-kaisen/107/11.png,jujutsu-kaisen,107,11
jujutsu-kaisen/107/12.png,jujutsu-kaisen,107,12
jujutsu-kaisen/107/13.png,jujutsu-kaisen,107,13
jujutsu-kaisen/107/14.png,jujutsu-kaisen,107,14
jujutsu-kaisen/107/15.png,jujutsu-kaisen,107,15
jujutsu-kaisen/107/16.png,jujutsu-kaisen,107,16
jujutsu-kaisen/107/17.png,jujutsu-kaisen,107,17
jujutsu-kaisen/107/18.png,jujutsu-kaisen,107,18
jujutsu-kaisen/107/19.png,jujutsu-kaisen,107,19
jujutsu-kaisen/107/20.png,jujutsu-kaisen,107,20
jujutsu-kaisen/107/21.png,jujutsu-kaisen,107,21
dr-stone/108/1.png,dr-stone,108,1
dr-stone/108/2.png,dr-stone,108,2
dr-stone/108/3.png,dr-stone,108,3
dr-stone/108/4.png,dr-stone,108,4
dr-stone/108/5.png,dr-stone,108,5
